user_id,movie_id,movie_name,actors,release_time,score,movie_type,duration,release_place,cumulative_box_office
172,48742,厉鬼将映,德?辰塔维 /德·辰塔维 /辰塔维·塔纳西维,2008/10/30,7.2,恐怖 / 惊悚,95分钟,泰国,暂无
320,226708,永不消逝的电波（??转彩?修复故事?）,孙道临 /袁霞 /王心刚,2021/10/6,暂无评分,剧情 / 战争,116分钟,中国大陆,311(万)
59,78018,魁拔Ⅲ战神崛起,刘婧荦 /刘校妤 /姚姝,2014/10/1,9.4,动作 / 动画 / 奇幻 / 冒险,90分钟,中国大陆,2491(万)
255,247300,唐人街探案,王宝强 /刘昊然 /陈赫,2015/12/31,9,喜剧 / 动作 /DDDDDDDDDD 悬疑,135分钟,中国大陆,82334(万)
455,246082,夏洛特烦恼,沈腾 /马丽 /尹正,2015/9/30,9.3,喜剧 / 爱情,104分钟,中国大陆,144475(万)
411,78304,战狼,吴京 /余男 /倪大红,2015/4/2,9.3,动作 / 战争,96分钟,中国大陆,54469(万)
145,246397,西游记之大圣归来,张磊 /张欣 /林子杰,2015/7/10,9.3,动画 / 动作 / 奇幻,89分钟,中国大陆,95462(万)
290,10860,山村老尸,吴镇宇 /黎姿 /施念慈,1999/11/4,6.4,恐怖,84分钟,中国香港,暂无
146,79082,天将雄师,成龙 /约翰·库萨克 /阿德里安·布劳迪,2015/2/19,8.3,动作 / 战争 / 古装,125分钟,"中国大陆,中国香港",74201(万)
294,78991,我的早更女友,周迅 /佟大为 /钟汉良,2014/12/12,8.2,爱情 / 喜剧,98分钟,中国大陆,16137(万)
389,78698,白日焰火,廖凡 /桂纶镁 /王学兵,2014/3/21,7.5,犯罪,109分钟,中国大陆,10404(万)
14,78701,寻龙诀,陈坤 /黄渤 /舒淇,2015/12/18,9.1,动作 / 冒险 / 奇幻,125分钟,中国大陆,167988(万)
309,210,人在囧途,徐峥 /王宝强 /李曼,2010/6/4,8.8,喜剧,91分钟,中国大陆,3730(万)
5,246386,小王子,杰夫·布里吉斯 /黄渤 /麦肯吉·弗依,2015/10/16,8.9,剧情 / 动画 / 冒险,107分钟,法国,15815(万)
96,246026,新娘大作战,杨颖 /倪妮 /陈晓,2015/8/20,6.2,喜剧 / 爱情,90分钟,中国大陆,17304(万)
48,78612,心花路放,黄渤 /徐峥 /袁泉,2014/9/30,9,爱情 / 喜剧,118分钟,中国大陆,116958(万)
479,893,十二生肖,成龙 /权相佑 /廖凡,2012/12/20,暂无评分,动作 / 冒险 / 喜剧,122分钟,"中国大陆,中国香港",88176(万)
374,248232,心迷宫,霍卫民 /罗芸 /孙黎,2015/10/16,8.2,剧情 / 悬疑 / 犯罪,110分钟,中国大陆,1076(万)
82,43,三傻大闹宝莱坞,阿米尔·汗 /卡琳娜·卡普 /马德哈万,2011/12/8,9.1,剧情 / 喜剧 / 冒险,171分钟,印度,1396(万)
453,246057,烈日灼心,邓超 /段奕宏 /郭涛,2015/8/27,8.9,剧情 / 犯罪 / 悬疑,139分钟,中国大陆,30340(万)
455,78631,智取威虎山,张涵予 /林更新 /梁家辉,2014/12/23,9.2,战争,141分钟,"中国大陆,中国香港",88348(万)
74,246577,港囧,徐峥 /包贝尔 /杜鹃,2015/9/25,8.4,喜剧 / 爱情 / 动作,114分钟,中国大陆,161135(万)
117,78697,后会无期,冯绍峰 /陈柏霖 /钟汉良,2014/7/24,8.3,喜剧 / 爱情 / 冒险,106分钟,中国大陆,62875(万)
314,245866,绣春刀,张震 /刘诗诗 /王千源,2014/8/7,8.3,武侠 / 古装 / 悬疑 / 动作,108分钟,中国大陆,9320(万)
270,247534,一代宗师,梁朝伟 /章子怡 /张国立,2013/1/8,7.9,剧情 / 动作 / 传记,125分钟,中国大陆,28924(万)
172,247744,彷徨之刃,崔相旭 /李秀彬 /徐俊英,2014/4/10,7.1,剧情 / 悬疑 / 惊悚,122分钟,韩国,暂无
167,247111,暗杀,李政宰 /全智贤 /河正宇,2015/9/17,8.8,剧情 / 犯罪 / 历史,140分钟,韩国,4687(万)
221,246185,魁拔之大战元泱界,刘婧荦 /刘校妤 /瞿澳晖,2013/5/31,8.8,动画,83分钟,中国大陆,2523(万)
354,825,寒战,郭富城 /梁家辉 /李治廷,2012/11/8,8.3,剧情 / 动作 / 犯罪,102分钟,"中国香港,中国大陆",25297(万)
222,331876,环大西洋,大卫·乔卡奇 /安东尼·特雷奇·克里斯 /Nicole Dickson,2013/7/9,2.6,科幻 / 灾难 / 动作,85分钟,美国,暂无
413,12872,蓝宇,刘烨 /胡军 /苏瑾,2001/11/22,8.7,爱情,86分钟,"中国大陆,中国香港",暂无(万)
27,1036,万箭穿心,颜丙燕 /焦刚 /陈刚,2012/11/16,8.4,剧情 / 家庭,120分钟,中国大陆,249(万)
67,224973,无间道,刘德华 /梁朝伟 /黄秋生,2003/9/5,9.1,剧情 / 犯罪,101分钟,中国香港,2(万)
147,246909,杀破狼2,吴京 /托尼·贾 /张晋,2015/6/18,9,剧情 / 动作 / 犯罪,120分钟,中国大陆,55966(万)
455,246330,煎饼侠,大鹏 /袁姗姗 /柳岩,2015/7/17,8.5,喜剧,113分钟,中国大陆,116018(万)
387,78554,分手大师,邓超 /杨幂 /梁超,2014/6/27,8.4,喜剧 / 爱情,116分钟,中国大陆,66509(万)
63,313,英雄本色,狄龙 /张国荣 /周润发,2017/11/17,9.2,剧情 / 动作 / 犯罪,95分钟,中国香港,3262(万)
181,78620,赤道,张家辉 /余文乐 /王学圻,2015/4/30,7.3,动作 / 悬疑 / 犯罪,119分钟,中国大陆,20934(万)
53,78409,喜羊羊与灰太狼之飞马奇遇记,张琳 /郑恺 /邓玉婷,2014/1/16,8,动画,79分钟,中国大陆,8620(万)
255,246080,师父,廖凡 /宋佳 /蒋雯丽,2015/12/10,8,剧情 / 动作 / 武侠,109分钟,中国大陆,5479(万)
297,2,疯狂的赛车,黄渤 /九孔 /戎祥,2009/1/20,8.2,喜剧 / 动作 / 冒险,104分钟,中国大陆,11000(万)
434,10193,假如爱有天意,孙艺珍 /曹承佑 /赵寅成,2003/9/19,8.9,爱情 / 剧情,132分钟,韩国,400(万)
377,78217,特殊身份,甄子丹 /景甜 /安志杰,2013/10/18,6.9,动作 / 犯罪,99分钟,中国大陆,15511(万)
165,1004,潜伏,帕特里克·威尔森 /萝丝·拜恩 /泰·辛普金斯,2011/4/1,7,恐怖 / 奇幻 / 惊悚,96分钟,美国,暂无(万)
145,247299,我的青春期,包贝尔 /孙怡 /王鹏,2015/11/11,6.7,剧情 / 喜剧 / 爱情,100分钟,中国大陆,1255(万)
207,246083,捉妖记,白百何 /井柏然 /姜武,2015/7/16,9.1,喜剧 / 奇幻 / 古装,117分钟,中国大陆,243623(万)
100,78653,同桌的你,周冬雨 /林更新 /隋凯,2014/4/25,8.5,剧情 / 爱情 / 青春,98分钟,中国大陆,45557(万)
458,65496,超脱,阿德里安·布劳迪 /马西娅·盖伊·哈登 /詹姆斯·凯恩,2011/4/25,8.7,剧情,97分钟,美国,暂无(万)
409,2212,菊次郎的夏天,北野武 /关口雄介 /岸本 加世子,2020/9/25,8.8,剧情 / 喜剧,120分钟,日本,906(万)
375,78866,失孤,刘德华 /井柏然 /梁家辉,2015/3/20,8.3,剧情,108分钟,中国大陆,21584(万)
128,70474,异形大战阿凡达,Cassie Fliegel /Jason Scheingross /迪伦沃克斯,2011/9/20,2.6,科幻,80分钟,美国,暂无
87,225899,白求恩大夫,谭宁邦 /吴雪 /邢吉田,1965/9/7,7.9,剧情 / 传记,107分钟,中国大陆,2(万)
203,246095,恐怖电影院,罗翔 /刘妍希 /殷果儿,2014/10/30,3.7,悬疑 / 惊悚,87分钟,中国大陆,1213(万)
92,301,建党伟业,刘烨 /冯远征 /张嘉益,2011/6/15,暂无评分,历史,140分钟,"中国大陆,中国香港",40910(万)
24,78210,惊天魔盗团,杰西·艾森伯格 /马克·鲁法洛 /伍迪·哈里森,2013/10/10,8.7,悬疑 / 科幻 / 犯罪,115分钟,"美国,法国",14275(万)
34,78324,北京爱情故事,梁家辉 /刘嘉玲 /王学兵,2014/2/14,8,爱情,121分钟,中国大陆,40649(万)
208,342758,一念天堂,沈腾 /马丽 /杜晓宇,2015/12/31,6,剧情 / 喜剧,102分钟,中国大陆,8258(万)
428,78283,澳门风云,周润发 /谢霆锋 /杜汶泽,2014/1/31,8.6,喜剧 / 动作,93分钟,"中国大陆,中国香港",52471(万)
319,78448,无人区,徐峥 /余男 /黄渤,2013/12/3,8.4,剧情 / 犯罪 / 西部,117分钟,中国大陆,25953(万)
208,78082,毒战,孙红雷 /古天乐 /黄奕,2013/4/2,7.8,剧情 / 动作 / 犯罪,108分钟,"中国大陆,中国香港",14692(万)
441,228655,无间道2,黄秋生 /曾志伟 /刘嘉玲,2003/10/17,8.5,剧情 / 惊悚 / 犯罪,119分钟,中国香港,暂无
114,78911,超体,斯嘉丽·约翰逊 /摩根·弗里曼 /安娜丽·提普顿,2014/10/24,8.2,科幻 / 动作 / 惊悚,89分钟,"美国,法国",27787(万)
202,78692,一个人的武林,甄子丹 /王宝强 /杨采妮,2014/10/31,8.4,现代 / 剧情 / 动作,96分钟,"中国大陆,中国香港",11850(万)
491,70798,床下有人,葛红霖 /武文佳 /午马,2011/10/14,6,恐怖 / 惊悚 / 爱情,100分钟,中国大陆,1482(万)
322,78197,窃听风云3,古天乐 /吴彦祖 /刘青云,2014/5/29,7.9,动作 / 悬疑 / 惊悚 / 犯罪,131分钟,"中国香港,中国大陆",30859(万)
15,589,西游记之大闹天宫,甄子丹 /周润发 /郭富城,2014/1/31,5.2,动作 / 奇幻,119分钟,"中国大陆,中国香港",104499(万)
457,246428,十二公民,雷佳 /韩童生 /赵龙豪,2015/5/15,8.1,剧情 / 悬疑 / 犯罪,110分钟,中国大陆,1403(万)
24,78485,老男孩猛龙过江,肖央 /王太利 /曲婉婷,2014/7/10,8.1,剧情,114分钟,中国大陆,20864(万)
326,1031,大上海,周润发 /黄晓明 /洪金宝,2012/12/21,8.3,剧情 / 动作,119分钟,"中国大陆,中国香港",14952(万)
5,247791,恐怖直播,河正宇 /李璟荣 /李大卫,2013/7/31,8.7,剧情 / 悬疑 / 犯罪,98分钟,韩国,暂无
471,78267,京城81号,吴镇宇 /林心如 /杨祐宁,2014/7/18,5.1,悬疑 / 惊悚,90分钟,中国大陆,41207(万)
24,11,投名状,李连杰 /刘德华 /金城武,2007/12/12,7.5,剧情 / 动作 / 战争 / 古装,126分钟,"中国大陆,中国香港",20200(万)
400,186,新少林寺,刘德华 /谢霆锋 /范冰冰,2011/1/19,7.6,剧情 / 动作,130分钟,"中国大陆,中国香港",21247(万)
360,892,天机·富春山居图,刘德华 /佟大为 /张静初,2013/6/9,4.8,动作 / 冒险,120分钟,中国大陆,30030(万)
348,78041,北京遇上西雅图,吴秀波 /汤唯 /海清,2013/3/21,8.8,喜剧 / 爱情,123分钟,"中国大陆,中国香港",52013(万)
431,78198,狄仁杰之神都龙王,赵又廷 /冯绍峰 /林更新,2013/9/28,8.3,动作 / 悬疑 / 古装,134分钟,"中国大陆,中国香港",60059(万)
152,248327,霸王别姬(京剧),尚长荣 /史依弘 /傅希如,2015/12/5,8.3,戏曲 / 历史,102分钟,中国大陆,101(万)
397,300,钢的琴,王千源 /秦海璐 /张申英,2011/7/15,8.2,剧情 / 喜剧,107分钟,中国大陆,655(万)
469,79186,狂怒,布拉德·皮特 /希亚·拉博夫 /罗根·勒曼,2014/11/21,9.1,剧情 / 动作 / 战争,132分钟,"英国,中国大陆,美国",11896(万)
231,93,钱学森,陈坤 /张雨绮 /林永健,2012/3/2,暂无评分,传记,98分钟,中国大陆,765(万)
182,249019,蒙太奇,严正化 /宋永彰 /曹熙奉,2013/5/16,7.1,剧情 / 惊悚 / 犯罪,120分钟,韩国,暂无
433,246292,何以笙箫默,黄晓明 /杨幂 /佟大为,2015/4/30,5.4,爱情,107分钟,中国大陆,35290(万)
405,9044,风雨同路,周星驰 /周慧敏 /陈惠敏,1990/5/12,6.8,剧情 / 动作 / 犯罪,98分钟,中国香港,暂无
447,78906,我的男友和狗,何润东 /张钧甯 /里拉,2015/6/19,7.5,爱情,93分钟,中国大陆,2417(万)
210,247261,栀子花开,李易峰 /张慧雯 /蒋劲夫,2015/7/10,8.2,剧情 / 爱情,107分钟,中国大陆,37838(万)
370,79211,澳门风云2,周润发 /张家辉 /刘嘉玲,2015/2/19,8.7,喜剧 / 动作,110分钟,中国大陆,97263(万)
275,78650,黄金时代,汤唯 /冯绍峰 /王志文,2014/10/1,7.9,剧情 / 爱情 / 传记,178分钟,"中国大陆,中国香港",5128(万)
178,78403,狼图腾,草原狼 /冯绍峰 /窦骁,2015/2/19,8.3,剧情 / 冒险,116分钟,中国大陆,70075(万)
176,257360,新世界,崔岷植 /黄政民 /李政宰,2013/2/21,8.7,动作,134分钟,韩国,暂无
382,9533,薄荷糖,薛景求 /文素丽 /金汝珍,1999/10/14,8.2,剧情,130分钟,"韩国,日本",暂无
31,252,黄金大劫案,雷佳音 /陶虹 /程媛媛,2012/4/24,7.5,剧情,108分钟,中国大陆,15018(万)
194,227027,铁道游击队,冯奇 /曹会渠 /秦怡,1956/2/1,暂无评分,战争,88分钟,中国大陆,11(万)
480,78630,道士下山,王宝强 /郭富城 /张震,2015/7/2,6.6,喜剧 / 冒险 / 奇幻,123分钟,中国大陆,40009(万)
