珠海安和生化科技有限公司	鹤山市古劳镇麦水工业区7号	鹤山市古劳镇麦水工业区7号一幢三层、八幢	91440400731468141Y	广东省药品监督管理局	江门市市场监督管理局	2023-01-02	2020-10-28	
珠海安和生化科技有限公司	开平市翠山湖新区环翠西路2号2座二楼3卡	开平市翠山湖新区环翠西路2号2座二楼3卡	91440400731468141Y	广东省药品监督管理局	江门市市场监督管理局	2023-01-02	2020-10-28	
珠海安和生化科技有限公司	江西省抚州市东乡区大富岗开发区28号	江西省抚州市东乡区大富岗开发区28号	91440400731468141Y	广东省药品监督管理局	***	2023-01-02	2020-10-28	
珠海安和生化科技有限公司	贵州省黔东南苗族侗族自治州从江县贯洞镇（洛贯经济开发区贯洞村）	贵州省黔东南苗族侗族自治州从江县贯洞镇（洛贯经济开发区贯洞村）	91440400731468141Y	广东省药品监督管理局	从江县市场监督管理局	2023-01-02	2020-10-28	
珠海安和生化科技有限公司	贵州省贵阳市修文县扎佐医药工业园区B区磨秧坡	贵州省贵阳市修文县扎佐医药工业园区B区磨秧坡	91440400731468141Y	广东省药品监督管理局	贵阳市市场监督管理局	2023-01-02	2020-10-28	
珠海安和生化科技有限公司	内蒙古自治区赤峰市红山经济开发区万泽大道9号	内蒙古自治区赤峰市红山经济开发区万泽大道9号	91440400731468141Y	广东省药品监督管理局	内蒙古自治区药品监督管理局	2023-01-02	2020-10-28	
珠海安和生化科技有限公司	广州市白云区白云湖街大朗北路121号四楼	广州市白云区白云湖街大朗北路121号四楼	91440400731468141Y	广东省药品监督管理局	白云区局白云湖市场监管所	2023-01-02	2020-10-28	
珠海安和生化科技有限公司	广州市白云区钟落潭镇广从九路951号501	广州市白云区钟落潭镇广从九路951号501	91440400731468141Y	广东省药品监督管理局	白云区局钟落潭市场监管所	2023-01-02	2020-10-28	
珠海安和生化科技有限公司	广州市白云区人和镇东华工业区华盛南路88号	广州市白云区人和镇东华工业区华盛南路88号	91440400731468141Y	广东省药品监督管理局	白云区局人和市场监管所	2023-01-02	2020-10-28	
广州汉雅化妆品有限公司	广州市白云区钟落潭镇金盆北路2号	广州市白云区钟落潭镇金盆北路2号	91440111572190161W	广东省药品监督管理局	白云区局钟落潭市场监管所	2021-12-25	2020-10-30	
广州汉雅化妆品有限公司	广州市白云区白云湖街大朗村货场中路11号D栋	广州市白云区白云湖街大朗村货场中路11号D栋3、4、5楼	91440111572190161W	广东省药品监督管理局	白云区局白云湖市场监管所	2021-12-25	2020-10-30	
广州汉雅化妆品有限公司	广州市白云区均禾街石马村夏花二路自编12号金马工业园A栋三楼	广州市白云区均禾街石马村夏花二路自编12号金马工业园A栋三楼	91440111572190161W	广东省药品监督管理局	白云区局均禾市场监管所	2021-12-25	2020-10-30	
广州汉雅化妆品有限公司	广东省汕头市潮南区峡山街道东山居委广汕公路南第四层	汕头市潮南区峡山街道东山居委广汕公路南第四层	91440111572190161W	广东省药品监督管理局	汕头市潮南区市场监督管理局	2021-12-25	2020-10-30	
广州汉雅化妆品有限公司	广州市从化区明珠工业园利建二路2号厂房二层、三层	广州市从化区明珠工业园利建二路2号厂房二层、三层	91440111572190161W	广东省药品监督管理局	从化区市场监督管理局	2021-12-25	2020-10-30	
广州汉雅化妆品有限公司	南宁市邕宁区铺蒲庙镇广信路5号中盟产业园A02栋一层厂房	南宁市邕宁区铺蒲庙镇广信路5号中盟产业园A02栋一层厂房	91440111572190161W	广东省药品监督管理局	广西壮族自治区药品监督管理局	2021-12-25	2020-10-30	
广州汉雅化妆品有限公司	广州市从化区城郊街城郊美都路123号（厂房A）之自编A3栋	广州市从化区城郊街城郊美都路123号（厂房A）之自编A3栋	91440111572190161W	广东省药品监督管理局	从化区局城郊市场监管	2021-12-25	2020-10-30	
广州汉御生物科技有限公司	广州市增城区新塘镇沙埔官道村站前路7号（厂房A1）（3-5楼）	91440101MA5CQXCPXL	广东省药品监督管理局	增城区新塘市场监管所	2024-10-21	2020-12-11	
广州汉御生物科技有限公司	广州市白云区均禾街清湖苏元庄街66号四楼	91440101MA5CQXCPXL	广东省药品监督管理局	白云区局均禾市场监管所	2024-10-21	2020-12-11	
广州汉御生物科技有限公司	汕头市潮阳区和平镇和平居委星光路16号	91440101MA5CQXCPXL	广东省药品监督管理局	汕头市潮阳区市场监督管理局	2024-10-21	2020-12-11	
广州汉御生物科技有限公司	广州市从化区城郊街横江路699号A幢（厂房A）一层	91440101MA5CQXCPXL	广东省药品监督管理局	从化区局城郊市场监管所	2024-10-21	2020-12-11	
广州汉御生物科技有限公司	成都市温江区成都海峡两岸科技产业开发园科兴路西段188号"海峡中小企业孵化园"2期21栋	91440101MA5CQXCPXL	广东省药品监督管理局	四川省药品监督管理局	2024-10-21	2020-12-11	
广州汉御生物科技有限公司	成都市温江区成都海峡两岸科技产业开发园科兴路西段188号"海峡中小企业孵化园"2期13栋2楼	91440101MA5CQXCPXL	广东省药品监督管理局	四川省药品监督管理局	2024-10-21	2020-12-11	
广州汉御生物科技有限公司	广州市黄埔区斗塘路45号S01栋H1区	91440101MA5CQXCPXL	广东省药品监督管理局	黄埔区市场监督管理局	2024-10-21	2020-12-11	
广州汉御生物科技有限公司	珠海市金湾区红旗镇顺林路199号三楼	91440101MA5CQXCPXL	广东省药品监督管理局	珠海市市场监督管理局	2024-10-21	2020-12-11	
广州汉御生物科技有限公司	惠州市惠城区水口镇横沙工业区	91440101MA5CQXCPXL	广东省药品监督管理局	惠城区市场监督管理局	2024-10-21	2020-12-11	
广州汉御生物科技有限公司	安徽省合肥经济技术开发区锦绣大道88号	91440101MA5CQXCPXL	广东省药品监督管理局	安徽省药品监督管理局	2024-10-21	2020-12-11	
广州汉御生物科技有限公司	中山市火炬开发区科技西路11号	91440101MA5CQXCPXL	广东省药品监督管理局	中山市市场监督管理局	2024-10-21	2020-12-11	
广州汉御生物科技有限公司	广州市白云区江高镇新贝路23号（自主申报）1栋1楼	91440101MA5CQXCPXL	广东省药品监督管理局	白云区局江高市场监管所	2024-10-21	2020-12-11	
广州汉御生物科技有限公司	长春市绿园区绿园经济开发区西景路299号	91440101MA5CQXCPXL	广东省药品监督管理局	长春市食品药品监督管理局朝阳分局	2024-10-21	2020-12-11	
四川隆力奇实业有限公司	汕头市潮南区峡山街道泗联潮新北路	91510112794939158Q	四川省药品监督管理局	汕头市潮南区市场监督管理局	2021-08-18	2020-11-30	
广州汉御生物科技有限公司	长沙市望城经济技术开发区望城大道228号	91440101MA5CQXCPXL	广东省药品监督管理局	湖南省药品监督管理局	2024-10-21	2020-12-11	
东莞市互生美甲产品有限公司	英德市东华镇英华茶场产业路北甲类A2车间	91441900559103860G	广东省药品监督管理局	英德市市场监督管理局	2021-07-24	2020-12-10	
东莞市互生美甲产品有限公司	东莞市道滘镇小河村沥江围工业区	91441900559103860G	广东省药品监督管理局	东莞市市场监督管理局	2021-07-24	2020-12-10	
四川隆力奇实业有限公司	荆州开发区荆沙大道（电子园）1、2、3栋	91510112794939158Q	四川省药品监督管理局	湖北省药品监督管理局	2021-08-18	2020-11-30	
广州天香生物科技有限公司	广州市白云区龙归街柏塘草塘一路15号C栋3楼	914401110589171106	广东省药品监督管理局	白云区局太和市场监管所	2023-09-20	2020-12-07	
广州天香生物科技有限公司	广州市白云区永平街东平村老屋街5巷5号	914401110589171106	广东省药品监督管理局	白云区局永平市场监管所	2023-09-20	2020-12-07	
广州天香生物科技有限公司	广州市白云区嘉禾街新科下村永和东街11号（自主申报）	914401110589171106	广东省药品监督管理局	白云区局嘉禾市场监管所	2023-09-20	2020-12-07	
广东领秀首美生物科技有限公司	佛山市三水区芦苞镇展凌路6号之一（住所申报）	91440607MA4W3RUN29	广东省药品监督管理局	佛山市市场监督管理局 三水区市场监督管理局	2025-11-24	2020-11-25	
广东领秀首美生物科技有限公司	银川德胜工业园区富强路8号	91440607MA4W3RUN29	广东省药品监督管理局	宁夏回族自治区药品监督管理局	2025-11-24	2020-11-25	
广东领秀首美生物科技有限公司	辽宁省大连市甘井子区辛寨子街道小辛村	91440607MA4W3RUN29	广东省药品监督管理局	大连市食品药品监督管理局	2025-11-24	2020-11-25	
广东领秀首美生物科技有限公司	厦门市同安区西柯镇美溪道湖里工业园32号501单元	91440607MA4W3RUN29	广东省药品监督管理局	福建省药品监督管理局厦门药品稽查办公室	2025-11-24	2020-11-25	
广东领秀首美生物科技有限公司	湖南省湘潭市经济技术开发区雅爱路15号	91440607MA4W3RUN29	广东省药品监督管理局	湖南省药品监督管理局	2025-11-24	2020-11-25	
广东领秀首美生物科技有限公司	广州市白云区人和镇横沥北贤路85号之二A栋一楼、B栋	91440607MA4W3RUN29	广东省药品监督管理局	白云区局人和市场监管所	2025-11-24	2020-11-25	
广东领秀首美生物科技有限公司	湖北省咸宁市赤壁市高新区美丽健康产业园19栋-22栋	91440607MA4W3RUN29	广东省药品监督管理局	湖北省药品监督管理局	2025-11-24	2020-11-25	
广东领秀首美生物科技有限公司	云南省保山市隆阳区下村工业园区惠通路	91440607MA4W3RUN29	广东省药品监督管理局	云南省药品监督管理局	2025-11-24	2020-11-25	
广东领秀首美生物科技有限公司	重庆市大足区高升镇龙升街186号	91440607MA4W3RUN29	广东省药品监督管理局	重庆市药品监督管理局检查四局	2025-11-24	2020-11-25	
广东领秀首美生物科技有限公司	广州市白云区均禾街罗岗村七星岗工业区环岗一路24号	91440607MA4W3RUN29	广东省药品监督管理局	白云区局均禾市场监管所	2025-11-24	2020-11-25	
广东领秀首美生物科技有限公司	广州市从化区明珠工业园利建二路2号厂房一层自编之一	91440607MA4W3RUN29	广东省药品监督管理局	从化区市场监督管理局	2025-11-24	2020-11-25	
广州名颜化妆品有限公司	广州市白云区白云湖街大朗村二十社大塘横路3号自编2栋A区2&mdash;4楼	914401110880548119	广东省药品监督管理局	白云区局白云湖市场监管所	2021-11-22	2020-12-04	
广东领秀首美生物科技有限公司	广州市从化区太平镇创业路29号3栋201室、301室B2区	91440607MA4W3RUN29	广东省药品监督管理局	从化区局太平市场监管所	2025-11-24	2020-11-25	
广州名颜化妆品有限公司	广州市白云区人和镇大巷村二社工业园6号	914401110880548119	广东省药品监督管理局	白云区局人和市场监管所	2021-11-22	2020-12-04	
广州名颜化妆品有限公司	广州市从化太平镇元洲岗村105国道边环亚厂房3自编第五层之一	914401110880548119	广东省药品监督管理局	从化区局太平市场监管所	2021-11-22	2020-12-04	
广州名颜化妆品有限公司	广州市白云区均禾街长红村双和庄工业区C座自编10号	914401110880548119	广东省药品监督管理局	白云区局均禾市场监管所	2021-11-22	2020-12-04	
广州名颜化妆品有限公司	广州市白云区太和镇永兴村陈太路86号	914401110880548119	广东省药品监督管理局	白云区局太和市场监管所	2021-11-22	2020-12-04	
广州名颜化妆品有限公司	广州市白云区永兴和兴东街6号一、二楼	914401110880548119	广东省药品监督管理局	白云区局太和市场监管所	2021-11-22	2020-12-04	
广州名颜化妆品有限公司	广州市增城区新塘镇白江村南顺社奄坑（厂房A1）二楼	914401110880548119	广东省药品监督管理局	增城区市场监管局	2021-11-22	2020-12-04	
广州名颜化妆品有限公司	广州市白云区钟落潭镇天城庄路14号B栋二至五层	914401110880548119	广东省药品监督管理局	白云区局钟落潭市场监管所	2021-11-22	2020-12-04	
广州名颜化妆品有限公司	广州市白云区白云湖街夏茅向西大道第二十社工业区舟航创意园A栋4楼	914401110880548119	广东省药品监督管理局	白云区局白云湖市场监管所	2021-11-22	2020-12-04	
广东领秀首美生物科技有限公司	广州市白云区兴和大道自编886号2-4楼	91440607MA4W3RUN29	广东省药品监督管理局	白云区局太和市场监管所	2025-11-24	2020-11-25	
广州名颜化妆品有限公司	汕头市潮南区胪岗镇泗黄工业区东山洋14号601	914401110880548119	广东省药品监督管理局	汕头市潮南区市场监督管理局	2021-11-22	2020-12-04	
广州名颜化妆品有限公司	广州市白云区北太路1633号广州民营科技园科盛路1、3、5号自编3栋201房A201室	914401110880548119	广东省药品监督管理局	白云区局太和市场监管所	2021-11-22	2020-12-04	
广州名颜化妆品有限公司	南宁市长凯路25号2号生产厂房南面三楼	914401110880548119	广东省药品监督管理局	广西壮族自治区药品监督管理局	2021-11-22	2020-12-04	
